UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews,Title,Price,Link
a897fe39b1053632,Books,£51.77,£51.77,£0.00,In stock (22 available),0,A Light in the Attic,£51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
90fa61229261140a,Books,£53.74,£53.74,£0.00,In stock (20 available),0,Tipping the Velvet,£53.74,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
6957f44c3847a760,Books,£50.10,£50.10,£0.00,In stock (20 available),0,Soumission,£50.10,https://books.toscrape.com/catalogue/soumission_998/index.html
e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,In stock (20 available),0,Sharp Objects,£47.82,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
4165285e1663650f,Books,£54.23,£54.23,£0.00,In stock (20 available),0,Sapiens: A Brief History of Humankind,£54.23,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
f77dbf2323deb740,Books,£22.65,£22.65,£0.00,In stock (19 available),0,The Requiem Red,£22.65,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,In stock (19 available),0,The Dirty Little Secrets of Getting Your Dream Job,£33.34,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
e72a5dfc7e9267b2,Books,£17.93,£17.93,£0.00,In stock (19 available),0,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
e10e1e165dc8be4a,Books,£22.60,£22.60,£0.00,In stock (19 available),0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,In stock (19 available),0,The Black Maria,£52.15,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
0312262ecafa5a40,Books,£13.99,£13.99,£0.00,In stock (19 available),0,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,In stock (19 available),0,Shakespeare's Sonnets,£20.66,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,In stock (19 available),0,Set Me Free,£17.46,https://books.toscrape.com/catalogue/set-me-free_988/index.html
3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,In stock (19 available),0,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,In stock (19 available),0,Rip it Up and Start Again,£35.02,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
deda3e61b9514b83,Books,£57.25,£57.25,£0.00,In stock (19 available),0,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
feb7cc7701ecf901,Books,£23.88,£23.88,£0.00,In stock (19 available),0,Olio,£23.88,https://books.toscrape.com/catalogue/olio_984/index.html
e30f54cea9b38190,Books,£37.59,£37.59,£0.00,In stock (19 available),0,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
a18a4f574854aced,Books,£51.33,£51.33,£0.00,In stock (19 available),0,Libertarianism for Beginners,£51.33,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0,It's Only the Himalayas,£45.17,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
